33812,61
13,62
15,61
17,62
19,61
21,61
23,62
24,61
26,61
29,61
31,60
32,62
34,62
36,62
37,61
39,61
42,62
43,61
45,61
46,61
48,62
50,61
52,61
53,61
56,61
58,61
60,61
62,61
64,61
65,61
68,61
69,61
71,61
72,61
74,61
77,61
78,61
80,61
82,61
84,61
86,61
88,61
90,61
91,61
93,61
95,61
97,61
99,61
100,61
102,61
104,61
106,61
107,61
110,60
111,60
114,60
115,60
117,61
119,61
121,60
123,60
124,61
126,60
128,60
130,60
132,60
133,60
135,60
137,60
139,60
140,60
143,60
144,60
146,60
148,60
150,60
152,60
153,60
155,60
157,60
159,60
160,60
162,60
164,60
166,60
168,60
169,60
171,59
173,60
174,59
176,60
178,60
180,59
182,60
183,60
185,60
187,60
189,60
191,60
192,60
194,59
196,59
198,60
200,60
202,59
203,59
205,59
207,59
209,59
210,60
212,58
214,60
216,60
217,59
220,59
221,59
223,59
225,59
226,59
228,58
230,58
231,58
234,58
235,58
237,58
239,58
241,57
242,57
243,56
245,56
247,56
249,56
250,56
252,56
254,55
256,55
257,55
259,54
261,54
262,54
264,53
265,53
267,53
268,52
270,52
271,51
272,50
274,51
276,50
277,50
279,48
281,49
282,47
283,47
284,47
286,47
288,46
289,45
290,43
292,43
293,43
294,42
295,42
297,41
298,40
300,39
300,39
302,38
303,37
303,36
305,35
306,34
306,34
308,33
309,32
310,31
311,30
312,29
313,28
314,27
314,27
315,26
316,25
317,24
317,23
319,22
319,21
320,20
321,19
321,19
321,18
322,17
323,16
323,15
324,14
325,14
325,13
326,13
326,12
326,11
327,10
327,9
328,9
328,9
328,8
329,8
329,7
329,7
330,6
330,6
330,5
330,5
331,4
331,4
331,3
332,3
332,2
333,2
333,1
333,1
333,1
332,1
332,1
333,0
334,0
334,0
333,0
333,0
333,0
334,0
334,0
334,0
334,0
335,0
335,0
335,0
334,0
334,0
335,0
335,0
334,0
335,0
335,0
336,0
336,0
335,0
336,0
336,0
335,0
336,0
336,0
336,0
336,0
336,0
336,0
336,0
335,0
335,0
336,0
336,0
336,0
336,0
336,0
336,0
336,0
336,0
336,0
336,0
335,0
336,0
336,0
336,0
336,0
336,0
336,0
336,0
336,0
336,0
336,0
336,0
336,0
336,0
336,0
336,0
336,0
336,0
336,0
336,0
336,0
336,0
336,0
336,0
336,0
336,0
336,0
336,0
336,0
336,0
336,0
