IV-measurement
-----------------------------------------------
       INPUT                      OUTPUT
Duty   Voltage Current       Voltage Current 
-----------------------------------------------
153, 15.50625, 0.01760,     1.47875, 0.64260
153, 4.28125, 0.02500,     0.74875, 0.08120
153, 1.20000, 0.02260,     0.46125, 0.02120
153, 0.57250, 0.02380,     0.58125, 0.00620
153, 0.45750, 0.02380,     0.54125, 0.00500
153, 0.43750, 0.02380,     0.53750, 0.00380
153, 0.43125, 0.02500,     0.49750, 0.00260
153, 0.43125, 0.02500,     0.55250, 0.00380
153, 0.43125, 0.02380,     0.54625, 0.00260
153, 0.42750, 0.02380,     0.53375, 0.00260
153, 0.43000, 0.02380,     0.52000, 0.00380
153, 0.43000, 0.02380,     0.52250, 0.00260
153, 0.42750, 0.02500,     0.54875, 0.00120
153, 0.42375, 0.02380,     0.50750, 0.00880
153, 0.42875, 0.02500,     0.52750, 0.00260
153, 0.42625, 0.02500,     0.49625, 0.00260
153, 0.42375, 0.02260,     0.51000, 0.01000
153, 0.42625, 0.02500,     0.51250, 0.00260
153, 0.42500, 0.02380,     0.49875, 0.00000
153, 0.41875, 0.02500,     0.50500, 0.01120
153, 0.42000, 0.02500,     0.51000, 0.00120
153, 0.42375, 0.02500,     0.51250, -0.00380
153, 0.42375, 0.02380,     0.51500, 0.00380
153, 0.42250, 0.02500,     0.49375, 0.00000
153, 0.42375, 0.02620,     0.52875, 0.00620
153, 0.42375, 0.02500,     0.53250, 0.00380
153, 0.42375, 0.02380,     0.53625, -0.01120
